,,,,
,,,,
,,,,
,,,,
,OBRA,Desafíos,,
,AUTOR,Pasión Gitana,,
,FECHA,1 de noviembre de 2025,,
,,,,
,ENTRADAS,VALOR,CANTIDAD,TOTAL
,Cortesía," $0,00",23," $0,00"
,ENTRADA WEB,,,
,Platea," $15.000,00",96," $1.440.000,00"
,Palco bajo," $15.000,00",9," $135.000,00"
,Palco bajo visibilidad lim.," $12.000,00",4," $48.000,00"
,Pullman," $10.000,00",4," $40.000,00"
,Palco alto," $10.000,00",5," $50.000,00"
,Palco alto visibilidad lim.," $8.000,00",1," $8.000,00"
,BOLETERÍA ,,,
,Platea," $15.000,00",148," $2.220.000,00"
,Palco bajo," $15.000,00",18," $270.000,00"
,Palco bajo visibilidad lim.," $12.000,00",," $0,00"
,Pullman," $10.000,00",12," $120.000,00"
,Palco alto," $10.000,00",5," $50.000,00"
,Palco alto visibilidad lim.," $8.000,00",," $0,00"
,TOTALES,,325," $4.381.000,00"
,,,,
,RECAUDADO EN EFECTIVO (BOLETERÍA),,," $2.660.000,00"
,"RECAUDADO EN ENTRADA WEB
(Transfiere directo a CBU/CVU del Usuario)",,," $1.721.000,00"
,,,TOTAL BRUTO," $4.381.000,00"
,,,,
,DEDUCCIONES (A),PORCENTAJE,DESCRIPCIÓN,IMPORTE
,Argentores,0%,del Bruto," $0,00"
,SADAIC,0%,del Bruto," $0,00"
,,,NETO 1," $4.381.000,00"
,,,,
,CONTRATO,PORCENTAJE,DESCRIPCIÓN,IMPORTE
,TEATRO,20%,del NETO 1," $876.200,00"
,USUARIO,80%,del NETO 1," $3.504.800,00"
,,,,
,DEDUCCIONES (B),DESCRIPCIÓN,,IMPORTE
,Alquiler de equipos extra,,," $0,00"
,Horas extra ensayos,,," $0,00"
,,,TOTAL," $0,00"
,,,,
,"TOTAL A LIQUIDAR AL USUARIO (EFECTIVO)
(REC. BOLETERÍA - % TEATRO)",,," $1.783.800,00"
,"TOTAL A LIQUIDAR AL USUARIO (TRANSFERENCIA)
Recaudado por venta online mediante EntradaWeb
",,," $1.721.000,00"
,,,,
,,,,
,,,,
,Firma USUARIO,,Firma TEATRO,
,,,,
,,,,
,Aclaración,,Aclaración,
